날짜,자재코드,자재명,카테고리,단가_원,공급업체,발주수량,비고
2022-03,MAT-010,용접봉,소모품,3300,A사,1050,
2022-03,MAT-011,특수합금,금속재료,585000,B사,52,
2022-03,MAT-012,광학렌즈,전자부품,250000,C사,32,
2022-03,MAT-013,정밀기어,구동부품,97000,D사,102,
2022-03,MAT-014,서보모터,구동부품,322000,E사,38,
2022-03,MAT-015,전력케이블,소모품,18000,A사,420,
2022-06,MAT-001,강판,금속재료,87000,A사,200,
2022-06,MAT-002,알루미늄판,금속재료,148000,B사,145,
2022-06,MAT-003,구리선,금속재료,338000,C사,78,
2022-06,MAT-004,볼베어링,구동부품,29000,A사,490,
2022-06,MAT-005,유압호스,소모품,15500,D사,295,
2022-06,MAT-006,센서모듈,전자부품,97000,B사,115,
2022-06,MAT-007,PCB기판,전자부품,77000,C사,195,
2022-06,MAT-008,냉각유,소모품,12500,D사,520,
2022-06,MAT-009,절삭유,소모품,8700,E사,605,
2022-06,MAT-010,용접봉,소모품,3300,A사,980,
2022-06,MAT-011,특수합금,금속재료,592000,B사,55,
2022-06,MAT-012,광학렌즈,전자부품,255000,C사,29,
2022-06,MAT-013,정밀기어,구동부품,98000,D사,98,
2022-06,MAT-014,서보모터,구동부품,325000,E사,41,
2022-06,MAT-015,전력케이블,소모품,18500,A사,405,
2022-09,MAT-001,강판,금속재료,88000,A사,215,
2022-09,MAT-002,알루미늄판,금속재료,149000,B사,158,
2022-09,MAT-003,구리선,금속재료,345000,C사,85,
2022-09,MAT-004,볼베어링,구동부품,29500,A사,505,
2022-09,MAT-005,유압호스,소모품,15800,D사,305,
2022-09,MAT-006,센서모듈,전자부품,98000,B사,118,
2022-09,MAT-007,PCB기판,전자부품,78000,C사,208,
2022-09,MAT-008,냉각유,소모품,12300,D사,498,
2022-09,MAT-009,절삭유,소모품,8700,E사,612,
2022-09,MAT-010,용접봉,소모품,3350,A사,1020,
2022-09,MAT-011,특수합금,금속재료,598000,B사,50,
2022-09,MAT-012,광학렌즈,전자부품,256000,C사,31,
2022-09,MAT-013,정밀기어,구동부품,99000,D사,105,
2022-09,MAT-014,서보모터,구동부품,328000,E사,39,
2022-09,MAT-015,전력케이블,소모품,18800,A사,415,
2022-12,MAT-001,강판,금속재료,90000,A사,190,
2022-12,MAT-002,알루미늄판,금속재료,151000,B사,140,
2022-12,MAT-003,구리선,금속재료,352000,C사,72,
2022-12,MAT-004,볼베어링,구동부품,29000,A사,460,
2022-12,MAT-005,유압호스,소모품,16000,D사,280,
2022-12,MAT-006,센서모듈,전자부품,98500,B사,105,
2022-12,MAT-007,PCB기판,전자부품,78500,C사,185,
2022-12,MAT-008,냉각유,소모품,12400,D사,480,
2022-12,MAT-009,절삭유,소모품,8800,E사,590,
2022-12,MAT-010,용접봉,소모품,3350,A사,920,
2022-12,MAT-011,특수합금,금속재료,605000,B사,45,
2022-12,MAT-012,광학렌즈,전자부품,258000,C사,27,
2022-12,MAT-013,정밀기어,구동부품,100000,D사,92,
2022-12,MAT-014,서보모터,구동부품,330000,E사,36,
2022-12,MAT-015,전력케이블,소모품,19000,A사,395,
2023-01,MAT-001,강판,금속재료,91000,A사,205,
2023-01,MAT-002,알루미늄판,금속재료,152000,B사,152,
2023-01,MAT-003,구리선,금속재료,368000,C사,80,가격인상
2023-01,MAT-004,볼베어링,구동부품,30000,A사,495,
2023-01,MAT-005,유압호스,소모품,16200,D사,295,
2023-01,MAT-006,센서모듈,전자부품,99000,B사,112,
2023-01,MAT-007,PCB기판,전자부품,79000,C사,198,
2023-01,MAT-008,냉각유,소모품,12600,D사,505,
2023-01,MAT-009,절삭유,소모품,8900,E사,598,
2023-01,MAT-010,용접봉,소모품,3400,A사,975,
2023-01,MAT-011,특수합금,금속재료,625000,B사,52,가격인상
2023-01,MAT-012,광학렌즈,전자부품,260000,C사,30,
2023-01,MAT-013,정밀기어,구동부품,101000,D사,98,
2023-01,MAT-014,서보모터,구동부품,335000,E사,42,
2023-01,MAT-015,전력케이블,소모품,19200,A사,408,
2023-03,MAT-001,강판,금속재료,93000,A사,212,
2023-03,MAT-002,알루미늄판,금속재료,155000,B사,148,
2023-03,MAT-003,구리선,금속재료,382000,C사,78,가격인상
2023-03,MAT-004,볼베어링,구동부품,30500,A사,508,
2023-03,MAT-005,유압호스,소모품,16000,D사,308,
2023-03,MAT-006,센서모듈,전자부품,100000,B사,122,
2023-03,MAT-007,PCB기판,전자부품,80000,C사,202,
2023-03,MAT-008,냉각유,소모품,12500,D사,495,
2023-03,MAT-009,절삭유,소모품,8900,E사,615,
2023-03,MAT-010,용접봉,소모품,3400,A사,1000,
2023-03,MAT-011,특수합금,금속재료,648000,B사,50,가격인상
2023-03,MAT-012,광학렌즈,전자부품,262000,C사,32,
2023-03,MAT-013,정밀기어,구동부품,102000,D사,102,
2023-03,MAT-014,서보모터,구동부품,338000,E사,40,
2023-03,MAT-015,전력케이블,소모품,19500,A사,418,
2023-05,MAT-001,강판,금속재료,94000,A사,208,
2023-05,MAT-002,알루미늄판,금속재료,156000,B사,155,
2023-05,MAT-003,구리선,금속재료,398000,C사,82,공급불안정
2023-05,MAT-004,볼베어링,구동부품,31000,A사,515,
2023-05,MAT-005,유압호스,소모품,16500,D사,298,
2023-05,MAT-006,센서모듈,전자부품,101500,B사,118,
2023-05,MAT-007,PCB기판,전자부품,81000,C사,195,
2023-05,MAT-008,냉각유,소모품,12800,D사,512,
2023-05,MAT-009,절삭유,소모품,9000,E사,608,
2023-05,MAT-010,용접봉,소모품,3450,A사,988,
2023-05,MAT-011,특수합금,금속재료,665000,B사,48,가격인상
2023-05,MAT-012,광학렌즈,전자부품,265000,C사,28,
2023-05,MAT-013,정밀기어,구동부품,103000,D사,100,
2023-05,MAT-014,서보모터,구동부품,342000,E사,38,
2023-05,MAT-015,전력케이블,소모품,19800,A사,412,
2023-07,MAT-001,강판,금속재료,97000,A사,195,
2023-07,MAT-002,알루미늄판,금속재료,158000,B사,142,
2023-07,MAT-003,구리선,금속재료,435000,C사,70,공급불안정
2023-07,MAT-004,볼베어링,구동부품,31500,A사,492,
2023-07,MAT-005,유압호스,소모품,16800,D사,285,
2023-07,MAT-006,센서모듈,전자부품,103000,B사,108,
2023-07,MAT-007,PCB기판,전자부품,82500,C사,188,
2023-07,MAT-008,냉각유,소모품,13200,D사,525,
2023-07,MAT-009,절삭유,소모품,9100,E사,600,
2023-07,MAT-010,용접봉,소모품,3500,A사,965,
2023-07,MAT-011,특수합금,금속재료,710000,B사,55,공급불안정
2023-07,MAT-012,광학렌즈,전자부품,268000,C사,30,
2023-07,MAT-013,정밀기어,구동부품,105000,D사,108,
2023-07,MAT-014,서보모터,구동부품,348000,E사,42,
2023-07,MAT-015,전력케이블,소모품,20200,A사,405,
2023-08,MAT-001,강판,금속재료,98000,A사,200,
2023-08,MAT-002,알루미늄판,금속재료,159000,B사,148,
2023-08,MAT-003,구리선,금속재료,462000,C사,68,공급불안정
2023-08,MAT-004,볼베어링,구동부품,32000,A사,498,
2023-08,MAT-005,유압호스,소모품,17000,D사,290,
2023-08,MAT-006,센서모듈,전자부품,104000,B사,112,
2023-08,MAT-007,PCB기판,전자부품,83000,C사,192,
2023-08,MAT-008,냉각유,소모품,13500,D사,520,
2023-08,MAT-009,절삭유,소모품,9200,E사,610,
2023-08,MAT-010,용접봉,소모품,3550,A사,970,
2023-08,MAT-011,특수합금,금속재료,745000,B사,52,공급불안정
2023-08,MAT-012,광학렌즈,전자부품,270000,C사,28,
2023-08,MAT-013,정밀기어,구동부품,106000,D사,104,
2023-08,MAT-014,서보모터,구동부품,352000,E사,40,
2023-08,MAT-015,전력케이블,소모품,20500,A사,410,가격인상
2023-10,MAT-001,강판,금속재료,99000,A사,205,
2023-10,MAT-002,알루미늄판,금속재료,160000,B사,150,
2023-10,MAT-003,구리선,금속재료,450000,C사,75,
2023-10,MAT-004,볼베어링,구동부품,32000,A사,505,
2023-10,MAT-005,유압호스,소모품,17200,D사,295,
2023-10,MAT-006,센서모듈,전자부품,104500,B사,115,
2023-10,MAT-007,PCB기판,전자부품,83500,C사,196,
2023-10,MAT-008,냉각유,소모품,13200,D사,510,
2023-10,MAT-009,절삭유,소모품,9100,E사,602,
2023-10,MAT-010,용접봉,소모품,3500,A사,980,
2023-10,MAT-011,특수합금,금속재료,730000,B사,50,
2023-10,MAT-012,광학렌즈,전자부품,272000,C사,31,
2023-10,MAT-013,정밀기어,구동부품,106000,D사,100,
2023-10,MAT-014,서보모터,구동부품,355000,E사,38,
2023-10,MAT-015,전력케이블,소모품,20500,A사,400,
2023-12,MAT-001,강판,금속재료,100000,A사,195,
2023-12,MAT-002,알루미늄판,금속재료,162000,B사,140,
2023-12,MAT-003,구리선,금속재료,442000,C사,72,
2023-12,MAT-004,볼베어링,구동부품,32500,A사,468,
2023-12,MAT-005,유압호스,소모품,17500,D사,278,
2023-12,MAT-006,센서모듈,전자부품,105000,B사,108,
2023-12,MAT-007,PCB기판,전자부품,84000,C사,188,
2023-12,MAT-008,냉각유,소모품,13000,D사,485,
2023-12,MAT-009,절삭유,소모품,9000,E사,592,
2023-12,MAT-010,용접봉,소모품,3500,A사,945,
2023-12,MAT-011,특수합금,금속재료,718000,B사,46,
2023-12,MAT-012,광학렌즈,전자부품,272000,C사,28,
2023-12,MAT-013,정밀기어,구동부품,107000,D사,96,
2023-12,MAT-014,서보모터,구동부품,358000,E사,35,
2023-12,MAT-015,전력케이블,소모품,20800,A사,392,
2024-01,MAT-001,강판,금속재료,102000,A사,208,
2024-01,MAT-002,알루미늄판,금속재료,164000,B사,152,
2024-01,MAT-003,구리선,금속재료,448000,C사,78,가격인상
2024-01,MAT-004,볼베어링,구동부품,33000,A사,498,
2024-01,MAT-005,유압호스,소모품,17800,D사,292,
2024-01,MAT-006,센서모듈,전자부품,106000,B사,118,
2024-01,MAT-007,PCB기판,전자부품,85000,C사,198,
2024-01,MAT-008,냉각유,소모품,13200,D사,502,
2024-01,MAT-009,절삭유,소모품,9200,E사,608,
2024-01,MAT-010,용접봉,소모품,3600,A사,968,
2024-01,MAT-011,특수합금,금속재료,742000,B사,52,가격인상
2024-01,MAT-012,광학렌즈,전자부품,275000,C사,30,
2024-01,MAT-013,정밀기어,구동부품,108000,D사,100,
2024-01,MAT-014,서보모터,구동부품,362000,E사,40,
2024-01,MAT-015,전력케이블,소모품,21000,A사,408,
2024-03,MAT-001,강판,금속재료,104000,A사,212,
2024-03,MAT-002,알루미늄판,금속재료,166000,B사,148,
2024-03,MAT-003,구리선,금속재료,455000,C사,80,
2024-03,MAT-004,볼베어링,구동부품,33500,A사,510,
2024-03,MAT-005,유압호스,소모품,18000,D사,302,
2024-03,MAT-006,센서모듈,전자부품,107000,B사,122,
2024-03,MAT-007,PCB기판,전자부품,85500,C사,202,
2024-03,MAT-008,냉각유,소모품,13500,D사,495,
2024-03,MAT-009,절삭유,소모품,9300,E사,618,
2024-03,MAT-010,용접봉,소모품,3600,A사,988,
2024-03,MAT-011,특수합금,금속재료,758000,B사,50,가격인상
2024-03,MAT-012,광학렌즈,전자부품,278000,C사,31,
2024-03,MAT-013,정밀기어,구동부품,109000,D사,104,
2024-03,MAT-014,서보모터,구동부품,365000,E사,38,
2024-03,MAT-015,전력케이블,소모품,21300,A사,418,
2024-06,MAT-001,강판,금속재료,106000,A사,200,
2024-06,MAT-002,알루미늄판,금속재료,168000,B사,145,
2024-06,MAT-003,구리선,금속재료,462000,C사,76,공급불안정
2024-06,MAT-004,볼베어링,구동부품,34000,A사,490,
2024-06,MAT-005,유압호스,소모품,18200,D사,288,
2024-06,MAT-006,센서모듈,전자부품,108000,B사,112,
2024-06,MAT-007,PCB기판,전자부품,86000,C사,195,
2024-06,MAT-008,냉각유,소모품,13800,D사,518,
2024-06,MAT-009,절삭유,소모품,9400,E사,605,
2024-06,MAT-010,용접봉,소모품,3650,A사,972,
2024-06,MAT-011,특수합금,금속재료,778000,B사,55,
2024-06,MAT-012,광학렌즈,전자부품,280000,C사,29,
2024-06,MAT-013,정밀기어,구동부품,110000,D사,108,
2024-06,MAT-014,서보모터,구동부품,370000,E사,42,
2024-06,MAT-015,전력케이블,소모품,21500,A사,405,
2024-09,MAT-001,강판,금속재료,108000,A사,215,
2024-09,MAT-002,알루미늄판,금속재료,170000,B사,155,
2024-09,MAT-003,구리선,금속재료,468000,C사,82,
2024-09,MAT-004,볼베어링,구동부품,34500,A사,508,
2024-09,MAT-005,유압호스,소모품,18500,D사,298,
2024-09,MAT-006,센서모듈,전자부품,109000,B사,120,
2024-09,MAT-007,PCB기판,전자부품,87000,C사,205,
2024-09,MAT-008,냉각유,소모품,14000,D사,512,
2024-09,MAT-009,절삭유,소모품,9500,E사,615,
2024-09,MAT-010,용접봉,소모품,3700,A사,982,
2024-09,MAT-011,특수합금,금속재료,795000,B사,50,
2024-09,MAT-012,광학렌즈,전자부품,282000,C사,32,
2024-09,MAT-013,정밀기어,구동부품,111000,D사,102,
2024-09,MAT-014,서보모터,구동부품,375000,E사,39,
2024-09,MAT-015,전력케이블,소모품,21800,A사,412,
2024-12,MAT-001,강판,금속재료,110000,A사,198,
2024-12,MAT-002,알루미늄판,금속재료,172000,B사,142,
2024-12,MAT-003,구리선,금속재료,475000,C사,74,가격인상
2024-12,MAT-004,볼베어링,구동부품,35000,A사,472,
2024-12,MAT-005,유압호스,소모품,18800,D사,282,
2024-12,MAT-006,센서모듈,전자부품,110000,B사,108,
2024-12,MAT-007,PCB기판,전자부품,88000,C사,188,
2024-12,MAT-008,냉각유,소모품,14200,D사,488,
2024-12,MAT-009,절삭유,소모품,9600,E사,598,
2024-12,MAT-010,용접봉,소모품,3750,A사,952,
2024-12,MAT-011,특수합금,금속재료,812000,B사,48,가격인상
2024-12,MAT-012,광학렌즈,전자부품,285000,C사,28,
2024-12,MAT-013,정밀기어,구동부품,112000,D사,98,
2024-12,MAT-014,서보모터,구동부품,380000,E사,36,
2024-12,MAT-015,전력케이블,소모품,22000,A사,398,
2023-02,MAT-003,구리선,금속재료,372000,C사,77,가격인상
2023-02,MAT-011,특수합금,금속재료,630000,B사,50,가격인상
2023-04,MAT-003,구리선,금속재료,388000,C사,80,
2023-04,MAT-011,특수합금,금속재료,652000,B사,51,
2023-06,MAT-003,구리선,금속재료,415000,C사,74,공급불안정
2023-06,MAT-011,특수합금,금속재료,685000,B사,54,공급불안정
2023-09,MAT-003,구리선,금속재료,455000,C사,76,
2023-09,MAT-011,특수합금,금속재료,722000,B사,50,
2023-11,MAT-003,구리선,금속재료,445000,C사,73,
2023-11,MAT-011,특수합금,금속재료,715000,B사,47,
2024-02,MAT-003,구리선,금속재료,450000,C사,79,
2024-02,MAT-011,특수합금,금속재료,748000,B사,52,가격인상
2024-04,MAT-003,구리선,금속재료,458000,C사,77,
2024-04,MAT-011,특수합금,금속재료,762000,B사,50,
2024-05,MAT-003,구리선,금속재료,460000,C사,80,
2024-05,MAT-011,특수합금,금속재료,770000,B사,53,
2024-07,MAT-003,구리선,금속재료,465000,C사,75,
2024-07,MAT-011,특수합금,금속재료,782000,B사,50,
2024-08,MAT-003,구리선,금속재료,468000,C사,78,
2024-08,MAT-011,특수합금,금속재료,788000,B사,52,
2024-10,MAT-003,구리선,금속재료,470000,C사,76,
2024-10,MAT-011,특수합금,금속재료,800000,B사,49,가격인상
2024-11,MAT-003,구리선,금속재료,472000,C사,74,
2024-11,MAT-011,특수합금,금속재료,806000,B사,50,
2023-07,MAT-001,강판,금속재료,97000,D사,180,
2023-07,MAT-001,강판,금속재료,101000,E사,160,가격인상
2023-07,MAT-006,센서모듈,전자부품,115000,A사,90,
2023-07,MAT-007,PCB기판,전자부품,89000,D사,180,
2024-06,MAT-004,볼베어링,구동부품,36500,C사,450,
2024-06,MAT-004,볼베어링,구동부품,31000,E사,520,
2024-06,MAT-014,서보모터,구동부품,395000,A사,35,
2024-06,MAT-014,서보모터,구동부품,362000,D사,38,
