날짜,장비ID,장비명,설치위치,이상유형,담당자,수리시간_시간,부품교체여부,비용_원,비고
2022-10-18,EQ-020,AGV운반로봇,물류동,모터과열,최수진,3.0,N,245000,
2022-10-25,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,3.0,N,255000,
2022-11-01,EQ-012,CNC선반2호,생산3동,전원불안정,정대한,2.0,N,145000,겨울철 전력 불안정
2022-11-08,EQ-015,용접로봇B,조립동,베어링마모,박민준,4.5,Y,480000,
2022-11-15,EQ-003,레이저절단기,생산2동,센서오류,이영희,1.5,N,125000,
2022-11-22,EQ-006,레이저용접기,생산2동,냉각계통이상,최수진,3.5,Y,390000,
2022-11-29,EQ-008,표면연삭기,생산2동,소음증가,김철수,1.0,N,82000,
2022-12-06,EQ-003,레이저절단기,생산2동,전원불안정,이영희,2.5,N,200000,겨울철 전력 불안정
2022-12-13,EQ-015,용접로봇B,조립동,전원불안정,박민준,2.0,N,165000,겨울
2022-12-20,EQ-004,열처리로,생산3동,전원불안정,정대한,3.0,N,240000,겨울철 반복
2022-12-27,EQ-003,레이저절단기,생산2동,베어링마모,이영희,5.5,Y,620000,연말 집중 점검
2023-01-04,EQ-015,용접로봇B,조립동,전원불안정,박민준,2.5,N,210000,겨울
2023-01-10,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,3.5,N,300000,
2023-01-17,EQ-001,CNC선반1호,생산1동,베어링마모,김철수,4.0,Y,420000,
2023-01-24,EQ-007,유압프레스,생산1동,유압계통이상,최수진,5.0,Y,590000,
2023-01-31,EQ-003,레이저절단기,생산2동,센서오류,이영희,1.5,N,140000,
2023-02-07,EQ-015,용접로봇B,조립동,베어링마모,박민준,6.0,Y,660000,반복 발생 심화
2023-02-14,EQ-010,정밀드릴링머신,연구동,진동이상,정대한,1.5,N,115000,
2023-02-21,EQ-003,레이저절단기,생산2동,모터과열,이영희,3.0,N,265000,
2023-02-28,EQ-009,자동조립기,조립동,소음증가,최수진,1.5,N,128000,
2023-03-07,EQ-003,레이저절단기,생산2동,베어링마모,이영희,5.0,Y,560000,
2023-03-14,EQ-015,용접로봇B,조립동,진동이상,박민준,2.5,N,220000,
2023-03-21,EQ-002,CNC밀링2호,생산1동,윤활부족,김철수,0.5,N,62000,
2023-03-28,EQ-019,로봇아암A,조립동,모터과열,정대한,2.0,N,175000,
2023-04-04,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,3.0,N,270000,
2023-04-11,EQ-015,용접로봇B,조립동,베어링마모,박민준,5.5,Y,610000,고비용 수리
2023-04-18,EQ-006,레이저용접기,생산2동,센서오류,최수진,2.0,N,170000,
2023-04-25,EQ-011,정밀측정기,연구동,전원불안정,정대한,1.0,N,95000,
2023-05-02,EQ-003,레이저절단기,생산2동,모터과열,이영희,3.5,N,310000,
2023-05-09,EQ-015,용접로봇B,조립동,소음증가,박민준,2.0,N,185000,
2023-05-16,EQ-013,CNC선반3호,생산3동,베어링마모,김철수,3.5,Y,380000,
2023-05-23,EQ-003,레이저절단기,생산2동,진동이상,이영희,2.0,N,195000,
2023-05-30,EQ-017,레이저마킹기,생산3동,센서오류,최수진,1.5,N,130000,
2023-06-06,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,4.5,Y,510000,여름철 냉각 부하 증가
2023-06-13,EQ-015,용접로봇B,조립동,모터과열,박민준,5.0,Y,580000,여름철 과열
2023-06-20,EQ-001,CNC선반1호,생산1동,소음증가,김철수,1.5,N,115000,
2023-06-27,EQ-003,레이저절단기,생산2동,모터과열,이영희,4.0,Y,460000,여름 고부하
2023-07-04,EQ-015,용접로봇B,조립동,냉각계통이상,박민준,4.5,Y,530000,여름 냉각 이상
2023-07-11,EQ-003,레이저절단기,생산2동,모터과열,이영희,5.0,Y,570000,여름철 최고치
2023-07-18,EQ-016,고압세척기,생산1동,냉각계통이상,최수진,2.5,N,215000,여름
2023-07-25,EQ-003,레이저절단기,생산2동,베어링마모,이영희,4.0,Y,470000,
2023-08-01,EQ-015,용접로봇B,조립동,모터과열,박민준,5.5,Y,620000,여름 극심 과열
2023-08-08,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,3.5,N,315000,
2023-08-15,EQ-007,유압프레스,생산1동,유압계통이상,김철수,5.0,Y,610000,
2023-08-22,EQ-003,레이저절단기,생산2동,모터과열,이영희,4.5,Y,510000,
2023-08-29,EQ-018,자동도장기,생산2동,센서오류,최수진,2.0,N,175000,
2023-09-05,EQ-015,용접로봇B,조립동,베어링마모,박민준,6.0,Y,680000,심각한 마모
2023-09-12,EQ-003,레이저절단기,생산2동,진동이상,이영희,2.5,N,225000,
2023-09-19,EQ-004,열처리로,생산3동,전원불안정,정대한,2.0,N,160000,
2023-09-26,EQ-003,레이저절단기,생산2동,센서오류,이영희,1.5,N,145000,
2023-10-03,EQ-015,용접로봇B,조립동,소음증가,박민준,3.0,N,265000,
2023-10-10,EQ-001,CNC선반1호,생산1동,베어링마모,김철수,4.5,Y,490000,
2023-10-17,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,3.0,N,275000,
2023-10-24,EQ-020,AGV운반로봇,물류동,진동이상,최수진,2.5,N,225000,
2023-10-31,EQ-003,레이저절단기,생산2동,베어링마모,이영희,5.0,Y,570000,
2023-11-07,EQ-015,용접로봇B,조립동,전원불안정,박민준,2.0,N,185000,겨울 전력 불안정
2023-11-14,EQ-003,레이저절단기,생산2동,모터과열,이영희,3.5,N,325000,
2023-11-21,EQ-012,CNC선반2호,생산3동,전원불안정,정대한,2.5,N,195000,겨울
2023-11-28,EQ-008,표면연삭기,생산2동,소음증가,김철수,1.0,N,90000,
2023-12-05,EQ-003,레이저절단기,생산2동,전원불안정,이영희,2.5,N,215000,겨울
2023-12-12,EQ-015,용접로봇B,조립동,전원불안정,박민준,3.0,Y,280000,겨울 전력 반복
2023-12-19,EQ-003,레이저절단기,생산2동,베어링마모,이영희,6.0,Y,690000,연간 누적 마모
2023-12-26,EQ-006,레이저용접기,생산2동,냉각계통이상,최수진,3.0,Y,360000,
2024-01-03,EQ-015,용접로봇B,조립동,전원불안정,박민준,3.0,N,275000,겨울 전력
2024-01-09,EQ-003,레이저절단기,생산2동,베어링마모,이영희,5.5,Y,660000,반복 발생
2024-01-16,EQ-001,CNC선반1호,생산1동,진동이상,김철수,2.0,N,185000,
2024-01-23,EQ-007,유압프레스,생산1동,유압계통이상,최수진,5.5,Y,680000,
2024-01-30,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,3.5,N,325000,
2024-02-06,EQ-015,용접로봇B,조립동,베어링마모,박민준,6.5,Y,750000,심각한 마모 진행
2024-02-13,EQ-003,레이저절단기,생산2동,센서오류,이영희,2.0,N,175000,
2024-02-20,EQ-009,자동조립기,조립동,소음증가,최수진,1.5,N,140000,
2024-02-27,EQ-010,정밀드릴링머신,연구동,진동이상,정대한,1.5,N,125000,
2024-03-05,EQ-003,레이저절단기,생산2동,모터과열,이영희,3.5,N,320000,
2024-03-12,EQ-015,용접로봇B,조립동,진동이상,박민준,3.0,N,270000,
2024-03-19,EQ-002,CNC밀링2호,생산1동,윤활부족,김철수,0.5,N,65000,
2024-03-26,EQ-003,레이저절단기,생산2동,베어링마모,이영희,5.0,Y,600000,
2024-04-02,EQ-015,용접로봇B,조립동,냉각계통이상,박민준,4.0,Y,470000,
2024-04-09,EQ-013,CNC선반3호,생산3동,베어링마모,정대한,3.5,Y,400000,
2024-04-16,EQ-003,레이저절단기,생산2동,센서오류,이영희,1.5,N,155000,
2024-04-23,EQ-019,로봇아암A,조립동,모터과열,김철수,2.5,N,220000,
2024-04-30,EQ-015,용접로봇B,조립동,소음증가,박민준,2.5,N,230000,
2024-05-07,EQ-003,레이저절단기,생산2동,모터과열,이영희,4.0,Y,470000,
2024-05-14,EQ-011,정밀측정기,연구동,센서오류,최수진,1.0,N,100000,
2024-05-21,EQ-015,용접로봇B,조립동,베어링마모,박민준,6.0,Y,720000,
2024-05-28,EQ-003,레이저절단기,생산2동,진동이상,이영희,2.5,N,235000,
2024-06-04,EQ-015,용접로봇B,조립동,모터과열,박민준,5.5,Y,660000,여름 과열
2024-06-11,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,5.0,Y,590000,여름 냉각 부하
2024-06-18,EQ-016,고압세척기,생산1동,냉각계통이상,김철수,2.5,N,235000,여름
2024-06-25,EQ-003,레이저절단기,생산2동,모터과열,이영희,4.5,Y,530000,여름 고부하
2024-07-02,EQ-015,용접로봇B,조립동,냉각계통이상,박민준,5.0,Y,610000,여름 냉각 이상
2024-07-09,EQ-003,레이저절단기,생산2동,모터과열,이영희,5.5,Y,640000,여름 최고치
2024-07-16,EQ-001,CNC선반1호,생산1동,소음증가,최수진,1.5,N,130000,
2024-07-23,EQ-003,레이저절단기,생산2동,베어링마모,이영희,4.5,Y,540000,
2024-07-30,EQ-015,용접로봇B,조립동,모터과열,박민준,6.0,Y,720000,여름 극심
2024-08-06,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,4.0,Y,490000,
2024-08-13,EQ-007,유압프레스,생산1동,유압계통이상,김철수,5.5,Y,680000,
2024-08-20,EQ-015,용접로봇B,조립동,모터과열,박민준,5.5,Y,660000,
2024-08-27,EQ-003,레이저절단기,생산2동,모터과열,이영희,4.0,Y,480000,
2024-09-03,EQ-003,레이저절단기,생산2동,베어링마모,이영희,5.5,Y,660000,
2024-09-10,EQ-015,용접로봇B,조립동,진동이상,박민준,3.5,N,315000,
2024-09-17,EQ-018,자동도장기,생산2동,센서오류,최수진,2.0,N,185000,
2024-09-24,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,3.5,N,340000,
2024-10-01,EQ-015,용접로봇B,조립동,베어링마모,박민준,7.0,Y,820000,대형 부품 교체
2024-10-08,EQ-003,레이저절단기,생산2동,센서오류,이영희,2.0,N,185000,
2024-10-15,EQ-013,CNC선반3호,생산3동,소음증가,정대한,1.5,N,130000,
2024-10-22,EQ-003,레이저절단기,생산2동,진동이상,이영희,3.0,N,275000,
2024-10-29,EQ-020,AGV운반로봇,물류동,모터과열,김철수,3.0,N,270000,
2024-11-05,EQ-015,용접로봇B,조립동,전원불안정,박민준,2.5,N,235000,겨울
2024-11-12,EQ-003,레이저절단기,생산2동,전원불안정,이영희,2.5,N,230000,겨울
2024-11-19,EQ-012,CNC선반2호,생산3동,전원불안정,최수진,2.5,N,210000,겨울
2024-11-26,EQ-003,레이저절단기,생산2동,베어링마모,이영희,6.0,Y,730000,
2024-12-03,EQ-015,용접로봇B,조립동,전원불안정,박민준,3.5,N,310000,겨울 전력
2024-12-10,EQ-003,레이저절단기,생산2동,냉각계통이상,이영희,4.0,N,380000,겨울 이상
2024-12-17,EQ-006,레이저용접기,생산2동,냉각계통이상,정대한,4.0,Y,490000,
2024-12-24,EQ-003,레이저절단기,생산2동,모터과열,이영희,5.0,Y,600000,연말 점검
2024-12-31,EQ-015,용접로봇B,조립동,베어링마모,박민준,7.5,Y,900000,연간 최대 수리
2022-04-30,EQ-003,레이저절단기,생산2동,소음증가,이영희,2.5,N,210000,
2022-07-10,EQ-014,정밀연삭기,연구동,윤활부족,정대한,0.5,N,52000,
2022-08-17,EQ-003,레이저절단기,생산2동,소음증가,이영희,2.0,N,175000,
2022-10-05,EQ-015,용접로봇B,조립동,냉각계통이상,박민준,3.0,N,260000,
2022-12-01,EQ-009,자동조립기,조립동,윤활부족,최수진,1.0,N,75000,
2023-02-01,EQ-003,레이저절단기,생산2동,진동이상,이영희,2.0,N,185000,
2023-04-20,EQ-015,용접로봇B,조립동,모터과열,박민준,4.0,Y,460000,
2023-06-15,EQ-017,레이저마킹기,생산3동,진동이상,최수진,1.5,N,135000,
2023-08-05,EQ-003,레이저절단기,생산2동,진동이상,이영희,2.5,N,220000,
2023-10-20,EQ-015,용접로봇B,조립동,냉각계통이상,박민준,3.5,Y,400000,
2023-12-08,EQ-004,열처리로,생산3동,전원불안정,정대한,2.5,N,200000,겨울
2024-02-14,EQ-003,레이저절단기,생산2동,소음증가,이영희,2.0,N,190000,
2024-05-10,EQ-015,용접로봇B,조립동,진동이상,박민준,3.0,N,280000,
2024-08-03,EQ-003,레이저절단기,생산2동,소음증가,이영희,2.5,N,245000,
2024-10-18,EQ-015,용접로봇B,조립동,센서오류,박민준,2.0,N,195000,
2022-03-10,EQ-017,레이저마킹기,생산3동,센서오류,최수진,1.0,N,88000,
2022-06-22,EQ-020,AGV운반로봇,물류동,진동이상,정대한,2.0,N,180000,
2022-09-14,EQ-018,자동도장기,생산2동,소음증가,김철수,1.5,N,120000,
2022-11-10,EQ-019,로봇아암A,조립동,윤활부족,최수진,0.5,N,58000,
2023-01-20,EQ-017,레이저마킹기,생산3동,전원불안정,정대한,1.5,N,125000,
2023-03-22,EQ-020,AGV운반로봇,물류동,베어링마모,김철수,3.0,Y,310000,
2023-07-10,EQ-018,자동도장기,생산2동,모터과열,최수진,2.5,N,220000,여름
2023-09-18,EQ-019,로봇아암A,조립동,진동이상,정대한,2.0,N,175000,
2023-11-15,EQ-017,레이저마킹기,생산3동,소음증가,김철수,1.0,N,88000,
2024-01-10,EQ-020,AGV운반로봇,물류동,전원불안정,최수진,2.0,N,185000,겨울
2024-03-14,EQ-018,자동도장기,생산2동,베어링마모,정대한,3.5,Y,380000,
2024-06-20,EQ-019,로봇아암A,조립동,모터과열,김철수,2.5,N,235000,여름
2024-09-11,EQ-017,레이저마킹기,생산3동,센서오류,최수진,1.5,N,145000,
2024-11-20,EQ-020,AGV운반로봇,물류동,소음증가,정대한,1.5,N,140000,
2022-05-15,EQ-016,고압세척기,생산1동,소음증가,김철수,1.0,N,82000,
2023-02-22,EQ-016,고압세척기,생산1동,진동이상,이영희,1.5,N,120000,
2023-08-30,EQ-016,고압세척기,생산1동,모터과열,박민준,2.5,N,210000,여름
2024-04-10,EQ-016,고압세척기,생산1동,베어링마모,최수진,3.0,Y,310000,
2022-06-10,EQ-011,정밀측정기,연구동,소음증가,정대한,1.0,N,90000,
2022-10-20,EQ-011,정밀측정기,연구동,진동이상,김철수,1.5,N,118000,
2023-05-15,EQ-011,정밀측정기,연구동,센서오류,이영희,1.0,N,98000,
2023-11-08,EQ-011,정밀측정기,연구동,소음증가,박민준,1.0,N,92000,
2024-07-12,EQ-011,정밀측정기,연구동,진동이상,최수진,1.5,N,135000,
2022-03-25,EQ-014,정밀연삭기,연구동,소음증가,정대한,1.5,N,105000,
2022-09-08,EQ-014,정밀연삭기,연구동,베어링마모,김철수,3.0,Y,310000,
2023-04-12,EQ-014,정밀연삭기,연구동,진동이상,이영희,2.0,N,165000,
2023-10-05,EQ-014,정밀연삭기,연구동,소음증가,박민준,1.5,N,125000,
2024-05-22,EQ-014,정밀연삭기,연구동,베어링마모,최수진,3.5,Y,370000,
2022-08-10,EQ-013,CNC선반3호,생산3동,모터과열,정대한,2.5,N,205000,여름
2022-11-18,EQ-013,CNC선반3호,생산3동,전원불안정,김철수,2.0,N,155000,겨울
2023-02-16,EQ-013,CNC선반3호,생산3동,진동이상,이영희,1.5,N,130000,
2023-08-22,EQ-013,CNC선반3호,생산3동,모터과열,박민준,3.0,N,255000,여름
2023-12-14,EQ-013,CNC선반3호,생산3동,전원불안정,최수진,2.0,N,175000,겨울
2024-06-18,EQ-013,CNC선반3호,생산3동,베어링마모,정대한,4.0,Y,440000,
2024-11-08,EQ-013,CNC선반3호,생산3동,전원불안정,김철수,2.5,N,225000,겨울
2022-04-15,EQ-004,열처리로,생산3동,모터과열,이영희,2.0,N,165000,
2022-08-25,EQ-004,열처리로,생산3동,냉각계통이상,박민준,3.5,Y,380000,여름
2023-05-10,EQ-004,열처리로,생산3동,베어링마모,최수진,3.0,Y,330000,
2023-09-06,EQ-004,열처리로,생산3동,센서오류,정대한,1.5,N,135000,
2024-02-22,EQ-004,열처리로,생산3동,진동이상,김철수,2.0,N,185000,
2024-07-18,EQ-004,열처리로,생산3동,냉각계통이상,이영희,3.5,Y,410000,여름
2022-05-20,EQ-002,CNC밀링2호,생산1동,소음증가,박민준,1.0,N,85000,
2022-09-28,EQ-002,CNC밀링2호,생산1동,베어링마모,최수진,3.5,Y,360000,
2023-01-25,EQ-002,CNC밀링2호,생산1동,진동이상,정대한,1.5,N,125000,
2023-07-19,EQ-002,CNC밀링2호,생산1동,모터과열,김철수,2.5,N,215000,여름
2023-11-22,EQ-002,CNC밀링2호,생산1동,소음증가,이영희,1.0,N,90000,
2024-04-15,EQ-002,CNC밀링2호,생산1동,베어링마모,박민준,3.5,Y,385000,
2024-09-25,EQ-002,CNC밀링2호,생산1동,진동이상,최수진,2.0,N,190000,
2022-07-20,EQ-009,자동조립기,조립동,모터과열,정대한,2.5,N,205000,여름
2022-11-16,EQ-009,자동조립기,조립동,베어링마모,김철수,3.0,Y,320000,
2023-03-15,EQ-009,자동조립기,조립동,전원불안정,이영희,1.5,N,125000,
2023-09-28,EQ-009,자동조립기,조립동,소음증가,박민준,1.5,N,130000,
2024-01-24,EQ-009,자동조립기,조립동,베어링마모,최수진,3.5,Y,375000,
2024-08-14,EQ-009,자동조립기,조립동,모터과열,정대한,2.5,N,240000,여름
